step_time,total_stopped,total_wait_time
2575.0,8,4.0
2580.0,10,5.0
2585.0,9,4.5
2590.0,8,4.0
2595.0,4,2.0
2600.0,7,3.5
2605.0,8,4.0
2610.0,7,3.5
2615.0,4,2.0
2620.0,3,1.5
2625.0,6,3.0
2630.0,12,6.0
2635.0,13,6.5
2640.0,11,5.5
2645.0,11,5.5
2650.0,10,5.0
2655.0,8,4.0
2660.0,6,3.0
2665.0,3,1.5
2670.0,10,5.0
2675.0,5,2.5
2680.0,5,2.5
2685.0,3,1.5
2690.0,9,4.5
2695.0,10,5.0
2700.0,7,3.5
2705.0,7,3.5
2710.0,4,2.0
2715.0,7,3.5
2720.0,14,7.0
2725.0,15,7.5
2730.0,11,5.5
2735.0,13,6.5
2740.0,7,3.5
2745.0,8,4.0
2750.0,8,4.0
2755.0,5,2.5
2760.0,6,3.0
2765.0,8,4.0
2770.0,9,4.5
2775.0,5,2.5
2780.0,6,3.0
2785.0,9,4.5
2790.0,15,7.5
2795.0,22,11.0
2800.0,22,11.0
2805.0,22,11.0
2810.0,13,6.5
2815.0,10,5.0
2820.0,7,3.5
2825.0,3,1.5
2830.0,3,1.5
2835.0,7,3.5
2840.0,7,3.5
2845.0,4,2.0
2850.0,4,2.0
2855.0,2,1.0
2860.0,7,3.5
2865.0,6,3.0
2870.0,4,2.0
2875.0,2,1.0
2880.0,2,1.0
2885.0,7,3.5
2890.0,14,7.0
2895.0,20,10.0
2900.0,19,9.5
2905.0,17,8.5
2910.0,14,7.0
2915.0,12,6.0
2920.0,7,3.5
2925.0,5,2.5
2930.0,4,2.0
2935.0,7,3.5
2940.0,8,4.0
2945.0,7,3.5
2950.0,7,3.5
2955.0,12,6.0
2960.0,12,6.0
2965.0,10,5.0
2970.0,10,5.0
2975.0,11,5.5
2980.0,9,4.5
2985.0,7,3.5
2990.0,5,2.5
2995.0,3,1.5
3000.0,7,3.5
3005.0,9,4.5
3010.0,4,2.0
3015.0,1,0.5
3020.0,7,3.5
3025.0,13,6.5
3030.0,12,6.0
3035.0,11,5.5
3040.0,7,3.5
3045.0,10,5.0
3050.0,7,3.5
3055.0,3,1.5
3060.0,3,1.5
3065.0,7,3.5
3070.0,7,3.5
3075.0,3,1.5
3080.0,7,3.5
3085.0,10,5.0
3090.0,10,5.0
3095.0,7,3.5
3100.0,7,3.5
3105.0,2,1.0
3110.0,7,3.5
3115.0,12,6.0
3120.0,19,9.5
3125.0,18,9.0
3130.0,19,9.5
3135.0,15,7.5
3140.0,13,6.5
3145.0,10,5.0
3150.0,7,3.5
3155.0,3,1.5
3160.0,7,3.5
3165.0,12,6.0
3170.0,13,6.5
3175.0,12,6.0
3180.0,12,6.0
3185.0,11,5.5
3190.0,9,4.5
3195.0,5,2.5
3200.0,5,2.5
3205.0,8,4.0
3210.0,16,8.0
3215.0,17,8.5
3220.0,16,8.0
3225.0,12,6.0
3230.0,13,6.5
3235.0,14,7.0
3240.0,16,8.0
3245.0,14,7.0
3250.0,11,5.5
3255.0,2,1.0
3260.0,7,3.5
3265.0,8,4.0
3270.0,5,2.5
3275.0,1,0.5
3280.0,2,1.0
3285.0,7,3.5
3290.0,14,7.0
3295.0,21,10.5
3300.0,23,11.5
3305.0,19,9.5
3310.0,12,6.0
3315.0,11,5.5
3320.0,9,4.5
3325.0,6,3.0
3330.0,5,2.5
3335.0,1,0.5
3340.0,7,3.5
3345.0,7,3.5
3350.0,2,1.0
3355.0,3,1.5
3360.0,9,4.5
3365.0,9,4.5
3370.0,5,2.5
3375.0,3,1.5
3380.0,9,4.5
3385.0,10,5.0
3390.0,8,4.0
3395.0,9,4.5
3400.0,14,7.0
3405.0,11,5.5
3410.0,13,6.5
3415.0,9,4.5
3420.0,14,7.0
3425.0,10,5.0
3430.0,8,4.0
3435.0,6,3.0
3440.0,9,4.5
3445.0,15,7.5
3450.0,16,8.0
3455.0,11,5.5
3460.0,11,5.5
3465.0,13,6.5
3470.0,13,6.5
3475.0,13,6.5
3480.0,12,6.0
3485.0,10,5.0
3490.0,10,5.0
3495.0,9,4.5
3500.0,6,3.0
3505.0,6,3.0
3510.0,3,1.5
3515.0,6,3.0
3520.0,8,4.0
3525.0,3,1.5
3530.0,4,2.0
3535.0,9,4.5
3540.0,9,4.5
3545.0,7,3.5
3550.0,3,1.5
3555.0,3,1.5
3560.0,7,3.5
3565.0,9,4.5
3570.0,6,3.0
3575.0,8,4.0
3580.0,9,4.5
3585.0,8,4.0
3590.0,5,2.5
3595.0,4,2.0
3600.0,9,4.5
3605.0,8,4.0
3610.0,4,2.0
3615.0,6,3.0
3620.0,12,6.0
3625.0,16,8.0
3630.0,22,11.0
3635.0,29,14.5
3640.0,28,14.0
3645.0,24,12.0
3650.0,18,9.0
3655.0,14,7.0
3660.0,9,4.5
3665.0,7,3.5
3670.0,5,2.5
3675.0,3,1.5
3680.0,8,4.0
3685.0,7,3.5
3690.0,3,1.5
3695.0,5,2.5
3700.0,7,3.5
3705.0,9,4.5
3710.0,5,2.5
3715.0,6,3.0
3720.0,11,5.5
3725.0,15,7.5
3730.0,16,8.0
3735.0,15,7.5
3740.0,14,7.0
3745.0,13,6.5
3750.0,15,7.5
3755.0,16,8.0
3760.0,12,6.0
3765.0,11,5.5
3770.0,11,5.5
3775.0,7,3.5
3780.0,5,2.5
3785.0,5,2.5
3790.0,8,4.0
3795.0,9,4.5
3800.0,8,4.0
3805.0,7,3.5
3810.0,9,4.5
3815.0,10,5.0
3820.0,6,3.0
3825.0,8,4.0
3830.0,11,5.5
3835.0,10,5.0
3840.0,8,4.0
3845.0,7,3.5
3850.0,11,5.5
3855.0,14,7.0
3860.0,13,6.5
3865.0,8,4.0
3870.0,13,6.5
3875.0,16,8.0
3880.0,17,8.5
3885.0,17,8.5
3890.0,14,7.0
3895.0,12,6.0
3900.0,10,5.0
3905.0,6,3.0
3910.0,5,2.5
3915.0,6,3.0
3920.0,9,4.5
3925.0,15,7.5
3930.0,17,8.5
3935.0,15,7.5
3940.0,12,6.0
3945.0,10,5.0
3950.0,8,4.0
3955.0,5,2.5
3960.0,2,1.0
3965.0,6,3.0
3970.0,12,6.0
3975.0,13,6.5
3980.0,11,5.5
3985.0,9,4.5
3990.0,13,6.5
3995.0,8,4.0
4000.0,7,3.5
4005.0,7,3.5
4010.0,2,1.0
4015.0,6,3.0
4020.0,7,3.5
4025.0,6,3.0
4030.0,5,2.5
4035.0,7,3.5
4040.0,15,7.5
4045.0,15,7.5
4050.0,12,6.0
4055.0,12,6.0
4060.0,13,6.5
4065.0,13,6.5
4070.0,16,8.0
4075.0,12,6.0
4080.0,12,6.0
4085.0,11,5.5
4090.0,14,7.0
4095.0,15,7.5
4100.0,15,7.5
4105.0,11,5.5
4110.0,11,5.5
4115.0,12,6.0
4120.0,14,7.0
4125.0,10,5.0
4130.0,8,4.0
4135.0,5,2.5
4140.0,7,3.5
4145.0,12,6.0
4150.0,13,6.5
4155.0,10,5.0
4160.0,10,5.0
4165.0,11,5.5
4170.0,8,4.0
4175.0,8,4.0
4180.0,3,1.5
4185.0,2,1.0
4190.0,1,0.5
4195.0,6,3.0
4200.0,13,6.5
4205.0,19,9.5
4210.0,25,12.5
4215.0,27,13.5
4220.0,28,14.0
4225.0,30,15.0
4230.0,31,15.5
4235.0,32,16.0
4240.0,35,17.5
4245.0,38,19.0
4250.0,38,19.0
4255.0,38,19.0
4260.0,32,16.0
4265.0,22,11.0
4270.0,16,8.0
4275.0,12,6.0
4280.0,7,3.5
4285.0,4,2.0
4290.0,3,1.5
4295.0,2,1.0
4300.0,9,4.5
4305.0,8,4.0
4310.0,6,3.0
4315.0,4,2.0
4320.0,7,3.5
4325.0,8,4.0
4330.0,6,3.0
4335.0,4,2.0
4340.0,8,4.0
4345.0,9,4.5
